id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
N;Norte;2000-01-01;2243.51250000
NE;Nordeste;2000-01-01;4646.37083333
S;Sul;2000-01-01;4800.65000000
SE;Sudeste/Centro-Oeste;2000-01-01;19045.99583333
N;Norte;2000-01-02;2259.80833333
NE;Nordeste;2000-01-02;4895.72083333
S;Sul;2000-01-02;4899.80000000
SE;Sudeste/Centro-Oeste;2000-01-02;19398.02500000
N;Norte;2000-01-03;2407.42916667
NE;Nordeste;2000-01-03;5736.00833333
S;Sul;2000-01-03;6261.55416667
SE;Sudeste/Centro-Oeste;2000-01-03;23061.74583333
N;Norte;2000-01-04;2404.21666667
NE;Nordeste;2000-01-04;5783.77083333
S;Sul;2000-01-04;6733.74166667
SE;Sudeste/Centro-Oeste;2000-01-04;24228.24166667
N;Norte;2000-01-05;2439.65000000
NE;Nordeste;2000-01-05;5753.12083333
S;Sul;2000-01-05;6961.17083333
SE;Sudeste/Centro-Oeste;2000-01-05;24807.93750000
N;Norte;2000-01-06;2426.68333333
NE;Nordeste;2000-01-06;5802.94166667
S;Sul;2000-01-06;7110.36250000
SE;Sudeste/Centro-Oeste;2000-01-06;25334.64583333
N;Norte;2000-01-07;2430.90833333
NE;Nordeste;2000-01-07;5658.54166667
S;Sul;2000-01-07;7105.35416667
SE;Sudeste/Centro-Oeste;2000-01-07;25410.19166667
N;Norte;2000-01-08;2286.35000000
NE;Nordeste;2000-01-08;5394.37500000
S;Sul;2000-01-08;6307.48750000
SE;Sudeste/Centro-Oeste;2000-01-08;22866.17500000
N;Norte;2000-01-09;2242.66666667
NE;Nordeste;2000-01-09;4931.13333333
S;Sul;2000-01-09;5523.62083333
SE;Sudeste/Centro-Oeste;2000-01-09;20849.18750000
N;Norte;2000-01-10;2417.59583333
NE;Nordeste;2000-01-10;5643.17083333
S;Sul;2000-01-10;7111.32083333
SE;Sudeste/Centro-Oeste;2000-01-10;25441.55416667
N;Norte;2000-01-11;2416.76666667
NE;Nordeste;2000-01-11;5724.17916667
S;Sul;2000-01-11;7435.05833333
SE;Sudeste/Centro-Oeste;2000-01-11;26375.78750000
N;Norte;2000-01-12;2418.35833333
NE;Nordeste;2000-01-12;5813.52916667
S;Sul;2000-01-12;7425.49166667
SE;Sudeste/Centro-Oeste;2000-01-12;26604.40000000
N;Norte;2000-01-13;2428.52083333
NE;Nordeste;2000-01-13;5888.76250000
S;Sul;2000-01-13;7505.57500000
SE;Sudeste/Centro-Oeste;2000-01-13;26731.56666667
N;Norte;2000-01-14;2440.20416667
NE;Nordeste;2000-01-14;5929.91666667
S;Sul;2000-01-14;7532.27500000
SE;Sudeste/Centro-Oeste;2000-01-14;27027.00833333
N;Norte;2000-01-15;2352.90833333
NE;Nordeste;2000-01-15;5504.18333333
S;Sul;2000-01-15;6435.91250000
SE;Sudeste/Centro-Oeste;2000-01-15;24565.80000000
N;Norte;2000-01-16;2263.83750000
NE;Nordeste;2000-01-16;5123.45000000
S;Sul;2000-01-16;5621.17500000
SE;Sudeste/Centro-Oeste;2000-01-16;21929.79583333
N;Norte;2000-01-17;2433.97500000
NE;Nordeste;2000-01-17;5883.13750000
S;Sul;2000-01-17;7234.96666667
SE;Sudeste/Centro-Oeste;2000-01-17;26523.67083333
N;Norte;2000-01-18;2479.86666667
NE;Nordeste;2000-01-18;6048.15000000
S;Sul;2000-01-18;7517.37291667
SE;Sudeste/Centro-Oeste;2000-01-18;27212.56250000
N;Norte;2000-01-19;2439.23750000
NE;Nordeste;2000-01-19;6028.56666667
S;Sul;2000-01-19;7391.79583333
SE;Sudeste/Centro-Oeste;2000-01-19;27165.69583333
N;Norte;2000-01-20;2494.57916667
NE;Nordeste;2000-01-20;6063.45000000
S;Sul;2000-01-20;7365.11250000
SE;Sudeste/Centro-Oeste;2000-01-20;25289.26250000
N;Norte;2000-01-21;2459.77083333
NE;Nordeste;2000-01-21;5949.44166667
S;Sul;2000-01-21;7386.47916667
SE;Sudeste/Centro-Oeste;2000-01-21;25977.04166667
N;Norte;2000-01-22;2393.10833333
NE;Nordeste;2000-01-22;5586.16666667
S;Sul;2000-01-22;6688.71666667
SE;Sudeste/Centro-Oeste;2000-01-22;23572.44166667
N;Norte;2000-01-23;2264.09166667
NE;Nordeste;2000-01-23;5102.51666667
S;Sul;2000-01-23;5616.00416667
SE;Sudeste/Centro-Oeste;2000-01-23;21363.22083333
N;Norte;2000-01-24;2434.80000000
NE;Nordeste;2000-01-24;5804.14166667
S;Sul;2000-01-24;7137.69583333
SE;Sudeste/Centro-Oeste;2000-01-24;25673.23750000
N;Norte;2000-01-25;2448.10416667
NE;Nordeste;2000-01-25;5964.80833333
S;Sul;2000-01-25;7416.22500000
SE;Sudeste/Centro-Oeste;2000-01-25;25874.23333333
N;Norte;2000-01-26;2463.06666667
NE;Nordeste;2000-01-26;5995.96666667
S;Sul;2000-01-26;7229.73333333
SE;Sudeste/Centro-Oeste;2000-01-26;26728.61250000
N;Norte;2000-01-27;2484.58333333
NE;Nordeste;2000-01-27;6066.92500000
S;Sul;2000-01-27;7112.17500000
SE;Sudeste/Centro-Oeste;2000-01-27;25540.09166667
N;Norte;2000-01-28;2493.06666667
NE;Nordeste;2000-01-28;6029.79583333
S;Sul;2000-01-28;7059.62916667
SE;Sudeste/Centro-Oeste;2000-01-28;25015.54166667
N;Norte;2000-01-29;2402.26250000
NE;Nordeste;2000-01-29;5651.62083333
S;Sul;2000-01-29;6214.31250000
SE;Sudeste/Centro-Oeste;2000-01-29;22674.66250000
N;Norte;2000-01-30;2283.10416667
NE;Nordeste;2000-01-30;5258.68750000
S;Sul;2000-01-30;5442.13333333
SE;Sudeste/Centro-Oeste;2000-01-30;20515.08750000
N;Norte;2000-01-31;2473.93333333
NE;Nordeste;2000-01-31;5984.23333333
S;Sul;2000-01-31;6939.68750000
SE;Sudeste/Centro-Oeste;2000-01-31;25555.35000000
N;Norte;2000-02-01;2466.40000000
NE;Nordeste;2000-02-01;6221.80000000
S;Sul;2000-02-01;7101.74166667
SE;Sudeste/Centro-Oeste;2000-02-01;26134.62500000
N;Norte;2000-02-02;2474.01250000
NE;Nordeste;2000-02-02;6279.74166667
S;Sul;2000-02-02;7031.08333333
SE;Sudeste/Centro-Oeste;2000-02-02;26217.28333333
N;Norte;2000-02-03;2489.07916667
NE;Nordeste;2000-02-03;6279.62500000
S;Sul;2000-02-03;7394.05000000
SE;Sudeste/Centro-Oeste;2000-02-03;26423.97916667
N;Norte;2000-02-04;2495.17500000
NE;Nordeste;2000-02-04;6181.77916667
S;Sul;2000-02-04;7227.83750000
SE;Sudeste/Centro-Oeste;2000-02-04;26983.54166667
N;Norte;2000-02-05;2396.47500000
NE;Nordeste;2000-02-05;5719.78750000
S;Sul;2000-02-05;6193.50000000
SE;Sudeste/Centro-Oeste;2000-02-05;24358.11666667
N;Norte;2000-02-06;2297.23333333
NE;Nordeste;2000-02-06;5320.59583333
S;Sul;2000-02-06;5421.05416667
SE;Sudeste/Centro-Oeste;2000-02-06;21316.43333333
N;Norte;2000-02-07;2430.35416667
NE;Nordeste;2000-02-07;5997.15000000
S;Sul;2000-02-07;7014.42083333
SE;Sudeste/Centro-Oeste;2000-02-07;25526.54583333
N;Norte;2000-02-08;2439.21250000
NE;Nordeste;2000-02-08;6087.31666667
S;Sul;2000-02-08;7292.05000000
SE;Sudeste/Centro-Oeste;2000-02-08;26241.80416667
N;Norte;2000-02-09;2437.78333333
NE;Nordeste;2000-02-09;6108.20416667
S;Sul;2000-02-09;7389.07083333
SE;Sudeste/Centro-Oeste;2000-02-09;26460.02083333
N;Norte;2000-02-10;2406.67916667
NE;Nordeste;2000-02-10;6059.80416667
S;Sul;2000-02-10;7461.00000000
SE;Sudeste/Centro-Oeste;2000-02-10;26778.06666667
N;Norte;2000-02-11;2433.90000000
NE;Nordeste;2000-02-11;5991.82083333
S;Sul;2000-02-11;7537.10416667
SE;Sudeste/Centro-Oeste;2000-02-11;26994.56250000
N;Norte;2000-02-12;2322.17083333
NE;Nordeste;2000-02-12;5600.57916667
S;Sul;2000-02-12;6704.83333333
SE;Sudeste/Centro-Oeste;2000-02-12;24474.28333333
N;Norte;2000-02-13;2237.53750000
NE;Nordeste;2000-02-13;5096.72500000
S;Sul;2000-02-13;5621.87083333
SE;Sudeste/Centro-Oeste;2000-02-13;21933.03750000
N;Norte;2000-02-14;2391.82916667
NE;Nordeste;2000-02-14;5634.05416667
S;Sul;2000-02-14;7096.34166667
SE;Sudeste/Centro-Oeste;2000-02-14;26413.97916667
N;Norte;2000-02-15;2388.36250000
NE;Nordeste;2000-02-15;5781.93333333
S;Sul;2000-02-15;7205.73333333
SE;Sudeste/Centro-Oeste;2000-02-15;27523.96666667
N;Norte;2000-02-16;2423.45000000
NE;Nordeste;2000-02-16;5801.84583333
S;Sul;2000-02-16;7057.27500000
SE;Sudeste/Centro-Oeste;2000-02-16;27404.22500000
N;Norte;2000-02-17;2444.90000000
NE;Nordeste;2000-02-17;5841.05833333
S;Sul;2000-02-17;6999.03750000
SE;Sudeste/Centro-Oeste;2000-02-17;26313.35833333
N;Norte;2000-02-18;2414.95833333
NE;Nordeste;2000-02-18;5837.41666667
S;Sul;2000-02-18;6977.51666667
SE;Sudeste/Centro-Oeste;2000-02-18;25385.21666667
N;Norte;2000-02-19;2378.37500000
NE;Nordeste;2000-02-19;5438.39166667
S;Sul;2000-02-19;6249.70000000
SE;Sudeste/Centro-Oeste;2000-02-19;23121.12916667
N;Norte;2000-02-20;2274.71250000
NE;Nordeste;2000-02-20;5014.76250000
S;Sul;2000-02-20;5356.96666667
SE;Sudeste/Centro-Oeste;2000-02-20;20677.77500000
N;Norte;2000-02-21;2475.03750000
NE;Nordeste;2000-02-21;5675.65833333
S;Sul;2000-02-21;6987.70833333
SE;Sudeste/Centro-Oeste;2000-02-21;25306.75416667
N;Norte;2000-02-22;2422.55833333
NE;Nordeste;2000-02-22;5774.00833333
S;Sul;2000-02-22;7280.16250000
SE;Sudeste/Centro-Oeste;2000-02-22;26409.38333333
N;Norte;2000-02-23;2439.78750000
NE;Nordeste;2000-02-23;5760.19166667
S;Sul;2000-02-23;7296.46250000
SE;Sudeste/Centro-Oeste;2000-02-23;27100.26666667
N;Norte;2000-02-24;2445.15833333
NE;Nordeste;2000-02-24;5768.92500000
S;Sul;2000-02-24;7454.97500000
SE;Sudeste/Centro-Oeste;2000-02-24;27439.92916667
N;Norte;2000-02-25;2467.29166667
NE;Nordeste;2000-02-25;5837.14166667
S;Sul;2000-02-25;7519.50833333
SE;Sudeste/Centro-Oeste;2000-02-25;27427.14583333
N;Norte;2000-02-26;2364.76666667
NE;Nordeste;2000-02-26;5513.15000000
S;Sul;2000-02-26;6667.82083333
SE;Sudeste/Centro-Oeste;2000-02-26;24846.50833333
N;Norte;2000-02-27;2281.35833333
NE;Nordeste;2000-02-27;5069.68750000
S;Sul;2000-02-27;5624.71666667
SE;Sudeste/Centro-Oeste;2000-02-27;22359.49166667
N;Norte;2000-02-28;2457.34583333
NE;Nordeste;2000-02-28;5857.88750000
S;Sul;2000-02-28;7223.26250000
SE;Sudeste/Centro-Oeste;2000-02-28;27038.42083333
N;Norte;2000-02-29;2466.12500000
NE;Nordeste;2000-02-29;6073.99166667
S;Sul;2000-02-29;7347.80416667
SE;Sudeste/Centro-Oeste;2000-02-29;27465.01666667
N;Norte;2000-03-01;2472.54583333
NE;Nordeste;2000-03-01;6052.19583333
S;Sul;2000-03-01;7344.59166667
SE;Sudeste/Centro-Oeste;2000-03-01;27163.64166667
N;Norte;2000-03-02;2451.92916667
NE;Nordeste;2000-03-02;6018.39166667
S;Sul;2000-03-02;7500.86250000
SE;Sudeste/Centro-Oeste;2000-03-02;27254.63333333
N;Norte;2000-03-03;2373.15833333
NE;Nordeste;2000-03-03;6013.88333333
S;Sul;2000-03-03;7428.86250000
SE;Sudeste/Centro-Oeste;2000-03-03;27022.91666667
N;Norte;2000-03-04;2349.99166667
NE;Nordeste;2000-03-04;5552.49166667
S;Sul;2000-03-04;6430.97500000
SE;Sudeste/Centro-Oeste;2000-03-04;23923.38333333
N;Norte;2000-03-05;2312.58333333
NE;Nordeste;2000-03-05;5107.43750000
S;Sul;2000-03-05;5449.62500000
SE;Sudeste/Centro-Oeste;2000-03-05;21465.73333333
N;Norte;2000-03-06;2328.70833333
NE;Nordeste;2000-03-06;5180.61250000
S;Sul;2000-03-06;6348.71666667
SE;Sudeste/Centro-Oeste;2000-03-06;22983.17500000
N;Norte;2000-03-07;2286.57916667
NE;Nordeste;2000-03-07;5142.34583333
S;Sul;2000-03-07;6131.35000000
SE;Sudeste/Centro-Oeste;2000-03-07;22622.49583333
N;Norte;2000-03-08;2385.08333333
NE;Nordeste;2000-03-08;5654.46250000
S;Sul;2000-03-08;6789.96250000
SE;Sudeste/Centro-Oeste;2000-03-08;24392.80416667
N;Norte;2000-03-09;2440.03333333
NE;Nordeste;2000-03-09;6083.47083333
S;Sul;2000-03-09;7020.40416667
SE;Sudeste/Centro-Oeste;2000-03-09;25594.61666667
N;Norte;2000-03-10;2446.86666667
NE;Nordeste;2000-03-10;6072.06666667
S;Sul;2000-03-10;7106.22083333
SE;Sudeste/Centro-Oeste;2000-03-10;26008.28750000
N;Norte;2000-03-11;2352.84583333
NE;Nordeste;2000-03-11;5701.15000000
S;Sul;2000-03-11;6348.40000000
SE;Sudeste/Centro-Oeste;2000-03-11;23962.81250000
N;Norte;2000-03-12;2297.45416667
NE;Nordeste;2000-03-12;5327.85416667
S;Sul;2000-03-12;5342.35833333
SE;Sudeste/Centro-Oeste;2000-03-12;21255.05833333
N;Norte;2000-03-13;2451.68333333
NE;Nordeste;2000-03-13;6034.44583333
S;Sul;2000-03-13;7035.90000000
SE;Sudeste/Centro-Oeste;2000-03-13;25229.15416667
N;Norte;2000-03-14;2486.07500000
NE;Nordeste;2000-03-14;6168.49166667
S;Sul;2000-03-14;7364.44166667
SE;Sudeste/Centro-Oeste;2000-03-14;26145.59583333
N;Norte;2000-03-15;2482.82083333
NE;Nordeste;2000-03-15;6123.15416667
S;Sul;2000-03-15;7451.60833333
SE;Sudeste/Centro-Oeste;2000-03-15;26625.92083333
N;Norte;2000-03-16;2465.13333333
NE;Nordeste;2000-03-16;6150.87500000
S;Sul;2000-03-16;7565.32916667
SE;Sudeste/Centro-Oeste;2000-03-16;27153.69166667
N;Norte;2000-03-17;2457.28750000
NE;Nordeste;2000-03-17;6127.22916667
S;Sul;2000-03-17;7564.26250000
SE;Sudeste/Centro-Oeste;2000-03-17;27362.45833333
